Episode,Title,Tags,Reference Meter,Rating
1x01,Second Contact,,,
1x02,Envoys,,,
1x03,Temporal Edict,,,
1x04,Moist Vessel,,,
1x05,Cupid's Errant Arrow,,,
1x06,Terminal Provocations,,,
1x07,Much Ado About Boimler,,,
1x08,Veritas,,,
1x09,Crisis Point,,,
1x10,No Small Parts,,,
2x01,Strange Energies,,,
2x02,"Kayshon, His Eyes Open",,,
2x03,We'll Always Have Tom Paris,,,
2x04,"Mugato, Gumato",,,
2x05,"An Embarrassment of Dooplers",,,
2x06,The Spy Humongous,,,
2x07,Where Pleasant Fountains Lie,,,
2x08,"I, Excretus",,,
2x09,"<span style='font-family:Klingon'>wej Duj</span> wej Duj [Three Ships]",,,
2x10,First First Contact,,,
3x01,Grounded,,,
3x02,The Least Dangerous Game,,,
3x03,Mining The Mind's Mines,,,
3x04,Room For Growth,,,
3x05,Reflections,,,
3x06,"Hear All, Trust Nothing",,,
3x07,A Mathematically Perfect Redemption,,,
3x08,Crisis Point 2: Paradoxus,,,
3x09,Trusted Sources,,,
3x10,The Stars at Night,,,
4x01,Twovix,,,
4x02,"I Have No Bones Yet I Must Flee",,,
4x03,In the Cradle of Vexilon,,,
4x04,"Something Borrowed, Something Green",,,
4x05,Empathalogical Fallacies,,,
4x06,Parth Ferengi's Heart Place,,,
4x07,A Few Badgeys More,,,
4x08,Caves,,,
4x09,The Inner Fight,,,
4x10,"Old Friends, New Planets",,,
5x01,Dos Cerrito,,,
5x02,Shades of Green,,,
5x03,The Best Exotic Nanite Hotel,,,
5x04,A Farewell to Farms,,,
5x05,Starbase 80?!,,,
5x06,Of Gods and Angles,,,
5x07,Fully Dilated,,,
5x08,Upper Decks,,,
5x09,Fissure Quest,,,
5x10,The New Next Generation,,,
