Spoiler,ReleaseDate,InUniverseDate,Series,Episode,Title,PlayedBy,Notes,Recommendation,Score
N,1996-11-22,2373 / 2063,FILM,#8,Star Trek: First Contact,Alice Krige,⭐First appearance of the Borg Queen in <em>Star Trek</em>,🕶 Must Watch,9
N,1999-02-17,2375,VOY,5x15/16,Dark Frontier,Susanna Thompson,"The Borg Queen claims that the Borg let Seven go on purpose, so they use her to help assimilate humanity",✔ Recommended,9.1
N,2000-05-24,2376,VOY,6x26,"Unimatrix Zero, Part I",Susanna Thompson,The Borg Queen tries to stop Janeway from exploiting a vulnerability in the collective,-,4.2
N,2000-10-04,2377.01,VOY,7x01,"Unimatrix Zero, Part II",Susanna Thompson,The Borg Queen tries to stop Janeway from exploiting a vulnerability in the collective,-,4.2
N,2001-05-23,2377.02,VOY,7x25/26,Endgame,Alice Krige,The Borg Queen does battle with two Captains Janeway,✔ Recommended,7.4
N,2021-09-30,2381,LOW,2x08,"I, Excretus",Alice Krige,(hologram only) Boimler contends with a holographic Borg Queen in a training simulation,-,7.7
N,2020-02-27,2399,PIC,1x06,The Impossible Box,Alice Krige (archive footage),(archive footage only) Less than a second-long flashback,-,6.1
N,2022-03-03,2401.01,PIC,2x01,The Star Gazer,Unknown Performer,A queen with a clockwork black helmet and tentacles assimilates the Stargazer,Entire season is ✔&nbsp;Recommended,7
N,2022-03-10,2401.02,PIC,2x02,Penance,Annie Wersching,The Queen is nearly executed on Eradication Day but helps the gang in planning to go back in time to fix the timeline,Entire season is ✔&nbsp;Recommended,5.7
N,2022-03-17,2401.03,PIC,2x03,Assimilation,Annie Wersching,The Queen sends the gang back in time and is impressed by Agnes Jurati,Entire season is ✔&nbsp;Recommended,5.7
N,2022-03-24,2401.04,PIC,2x04,Watcher,Annie Wersching,The Queen courts Jurati for more access,Entire season is ✔&nbsp;Recommended,5.3
N,2022-03-31,2401.05,PIC,2x05,Fly Me to the Moon,Annie Wersching,The Queen takes a police officer hostage and Jurati is forced to shoot her,Entire season is ✔&nbsp;Recommended,3.9
N,2022-04-07,2401.06,PIC,2x06,Two of One,Annie Wersching,The Queen has a night out on the town,Entire season is ✔&nbsp;Recommended,5.4
N,2022-04-14,2401.07,PIC,2x07,Monsters,"<span class='spoiler'><span class='spoilerTag' onClick='displaySpoiler(this,12)'>Spoiler » </span><span class='spoilerContent' style='filter: blur(12px);'>Alison&nbsp;Pill</span></span>",The Queen locks out <em>la Sirena</em>'s transporters and smashes out a window at a dive bar,Entire season is ✔&nbsp;Recommended,5.4
N,2022-04-21,2401.08,PIC,2x08,Mercy,"<span class='spoiler'><span class='spoilerTag' onClick='displaySpoiler(this,12)'>Spoiler » </span><span class='spoilerContent' style='filter: blur(12px);'>Alison&nbsp;Pill</span></span>",The Queen eats car batteries and conscripts Soong to provide her with a small army,Entire season is ✔&nbsp;Recommended,3.5
N,2022-04-28,2401.09,PIC,2x09,Hide and Seek,"Annie Wersching &amp; <span class='spoiler'><span class='spoilerTag' onClick='displaySpoiler(this,12)'>Spoiler » </span><span class='spoilerContent' style='filter: blur(12px);'>Alison&nbsp;Pill</span></span>",The Queen commandeers <em>la Sirena</em> and completes her merging of personalities,Entire season is ✔&nbsp;Recommended,5.3
N,2022-05-05,2401.01,PIC,2x10,Farewell,"<span class='spoiler'><span class='spoilerTag' onClick='displaySpoiler(this,12)'>Spoiler » </span><span class='spoilerContent' style='filter: blur(12px);'>Alison&nbsp;Pill</span></span>",The Queen takes control of a Starfleet armada to protect against a galaxy-ending cataclysm,Entire season is ✔&nbsp;Recommended,7.3
Y,2023-03-09,2401.11,PIC,3x04,No Win Scenario ,Garth Kemp,SPOILER! (as "The Face"),Entire season is ✔&nbsp;Recommended,8.5
Y,2023-03-30,2401.12,PIC,3x07,Dominion,Garth Kemp,SPOILER! (as "The Face"),Entire season is ✔&nbsp;Recommended,7.7
Y,2023-04-13,2401.13,PIC,3x09,Võx,Alice Krige (voice),SPOILER! The Borg Queen has been manipulating Jack,Entire season is ✔&nbsp;Recommended,7.3
Y,2023-04-20,2401.14,PIC,3x10,The Last Generation,Alice Krige (voice),SPOILER! The Borg Queen makes one last stand,Entire season is ✔&nbsp;Recommended,7.1
