Spoiler,ReleaseDate,InUniverseDate,Primacy,Series,Episode,Title,Notes,Recommendation,Score
N,1989-05-08,2365,P,TNG,2x16,Q Who,⭐ First appearance of the Borg in the <em>Star&nbsp;Trek</em> franchise,🕶 Must Watch,8.4
N,1990-05-18,2366,P,TNG,3x26,The Best of Both Worlds (Part I),Picard assimilated/Battle of Wolf 359,🕶 Must Watch,9.9
N,1990-09-24,2367,P,TNG,4x01,The Best of Both Worlds (Part II),Picard assimilated/Battle of Wolf 359,🕶 Must Watch,9.9
N,1992-05-11,2368,P,TNG,5x23,I Borg,The <em>Enterprise</em>&#8209;D crew gives a Borg drone a sense of individuality,✔ Recommended,7.9
N,1993-01-03,2367<br><span style="font-size:.625rem">(flashback)</span>,S,DS9,1x01,Emissary,Flashback to the Battle of Wolf 359,-,7.2
N,1993-05-21,2369,P,TNG,6x26,Descent (Part I),Lore leads a sect of rogue drones,✔ Recommended,8.2
N,1993-09-20,2370,P,TNG,7x01,Descent (Part II),Lore leads a sect of rogue drones,✔ Recommended,8.2
N,1996-11-22,2063<br><span style="font-size:.625rem">(time travel)</span>,P,Film,#8,Star Trek: First Contact,The Borg go back to the past and screw up First Contact,🕶 Must Watch,9.0
N,1996-11-22,2373.01<br><span style="font-size:.625rem">(origination)</span>,P,Film,#8,Star Trek: First Contact,The Borg go back to the past and screw up First Contact,🕶 Must Watch,9.0
N,1997-02-05,2373.02,VM,VOY,3x16,Blood Fever,Only a foreshadowing glimpse at the very end of the episode of a single dead drone,-,4.5
N,1997-02-12,2373.03,S,VOY,3x17,Unity,A "warm up" episode with a disconnected sect of former Borg,-,6.1
N,1997-05-21,2373.04,P,VOY,3x26,"Scorpion, Part I",<em>Voyager</em> and the Borg do battle with Species 8472,🕶 Must Watch,9.7
N,1997-09-03,2374.01,P,VOY,4x01,"Scorpion, Part II",<em>Voyager</em> and the Borg do battle with Species 8472,🕶 Must Watch,9.7
N,1997-10-08,2374.02,S,VOY,4x06,The Raven,(flashbacks only) Seven has flashbacks to her childhood assimilation,-,6.1
N,1998-04-29,2374.03,M,VOY,4x23,Living Witness,(fictional re-creation only) <em>Voyager</em> has a small Borg fighting force,-,9.2
N,1998-05-13,2374.04,M,VOY,4x25,One,(hallucination only) Seven hallucinates Borg when alone on <em>Voyager</em>,-,7.1
N,1998-05-20,2374.05,M,VOY,4x26,Hope and Fear,(cubes in final scene only) Arturus tries to get the <em>Voyager</em> crew assimilated,-,7.5
N,1998-10-21,2375.01,S,VOY,5x02,Drone,A 29th-century drone is accidentally brought into existence,-,6.5
N,1998-11-25,2375.02,S,VOY,5x07,Infinite Regress,(dead drones or hallucinations only) Seven experiences multiple personalities from her former victims,-,6.0
N,1999-02-17,2375.03,P,VOY,5x15/16,Dark Frontier,Seven falters on Janeway's mission to steal a Borg trans-warp coil,✔ Recommended,9.1
N,1999-09-29,2376.01,S,VOY,6x02,Survival Instinct,(mostly flashbacks) Three former Borg seek out Seven of Nine,-,6.8
N,1999-10-13,2376.02,M,VOY,6x04,Tinker Tenor Doctor Spy,(hallucination only) The Doctor daydreams about saving the ship from the Borg,-,8.1
N,2000-02-16,2376.03,S,VOY,6x16,Collective,<em>Voyager</em> comes across five Borg children abandoned and alone,-,5.0
N,2000-03-08,2376.04,M,VOY,6x19,Child's Play,A Borg cube tries to re-assimilate Icheb,-,5.8
N,2000-05-24,2376.05,P,VOY,6x26,"Unimatrix Zero, Part I",The Borg Queen tries to stop Janeway from exploiting a vulnerability,-,4.2
N,2000-10-04,2377.01,P,VOY,7x01,"Unimatrix Zero, Part II",The Borg Queen tries to stop Janeway from exploiting a vulnerability,-,4.2
N,2000-10-11,2377.02,S,VOY,7x02,Imperfection,Seven needs a new cortical implant,-,7.7
N,2000-11-29,2377.03,VM,VOY,7x09/10,Flesh and Blood,(hologram only) One of the holograms looks like a Borg,-,6.4
N,2001-01-17,2377.04,M,VOY,7x11,Shattered,(alternate timeline) Seven of Nine appears fully-assimilated in a past from before she was freed from the collective,-,6.9
N,2001-04-11,2377.05,M,VOY,7x19,Q2,Some Borg briefly conjured up by the young Q,-,5.2
N,2001-05-23,2377.06,P,VOY,7x25/26,Endgame,<em>Voyager</em> deals a crippling blow to the Borg,🕶 Must Watch,7.4
N,2003-05-07,2153,P,ENT,2x23,Regeneration,A controversial episode that explores consequences from the film <em>First&nbsp;Contact</em>,♦ Optional,Not yet rated
N,2020-01-23,2399.01,VM,PIC,1x01,Remembrance,Only a glimpse of a cube at the very end,-,7.1
N,2020-01-30,2399.02,S,PIC,1x02,Maps and Legends,Soji oversees disassembly of some ex-Borg,-,4.2
N,2020-02-06,2399.03,M,PIC,1x03,The End is the Beginning,Hugh is an ex-Borg now; Soji interviews another ex-Borg,-,5.7
N,2020-02-13,2399.04,M,PIC,1x04,Absolute Candor,Work continues on the cube,-,3.0
N,2020-02-27,2399.05,S,PIC,1x06,The Impossible Box,Picard and Hugh reunite and discuss his work rescuing victims of the Borg,✔ Recommended,6.1
N,2020-03-12,2399.06,S,PIC,1x08,Broken Pieces,Seven takes control of the cube; many Borg are blown into space; some xBs survive,✔ Recommended,6.1
N,2020-08-13,2380.01,M,LOW,1x02,Envoys,(holograms only) Shaxs puts Rutherford in a hand-to-hand combat simulation with several Borg drones,-,3.0
N,2020-08-20,2380.02,VM,LOW,1x03,Temporal Edict,(one child in the final scene only) A Borg child learns about Brad Boimler and Miles O'Brien in an outdoor classroom in the final scene,-,3.6
N,2020-10-01,2380.03,VM,LOW,1x09,Crisis Point,"(holographic head only) In her holodeck movie fantasy, Mariner uses a Borg head for its shield and also as an explosive",-,6.9
