Episode,Title,Tags,Recommendation,Rating
1x01/02 [FL],Caretaker,, 🕶 ‼ Must Watch/Bare Minimum,6
1x03,Parallax,🕖, 🕶 Must Watch,4.3
1x04,Time and Again,🕖, ✔ Recommended,6.4
1x05,Phage,, 🕶 Must Watch,5.8
1x06,The Cloud,,-,3.9
1x07,Eye of the Needle,, ✔ Recommended,7.2
1x08,Ex Post Facto,,-,4
1x09,Emanations,,-,4.8
1x10,Prime Factors,,-,6.2
1x11,State of Flux,, 🕶 Must Watch,6.3
1x12,Heroes and Demons,🟨,-,4.5
1x13,Cathexis,,-,3.8
1x14,Faces,, ✔ Recommended,6.4
1x15,Jatrel,,-,5.1
1x16,Learning Curve,,-,4.4
2x01,The 37's,,-,5.6
2x02,Initiations,,-,4
2x03,Projections,🟨, 🕶 Must Watch,7.8
2x04,Elogium,,-,2.3
2x05,Non Sequitur,🕖🌎,-,4.5
2x06,Twisted,,-,3.4
2x07,Partuition,,-,3.7
2x08,Persistence of Vision,,-,4.6
2x09,Tattoo,,-,2.1
2x10,Cold Fire,, ✔ Recommended,5
2x11,Maneuvers,, 🕶 Must Watch,6.1
2x12,Resistance,♥️,-,5.3
2x13,Prototype,,-,6.3
2x14,Alliances,, ✔ Recommended,6.1
2x15,Threshold,💩, ✖ Notably Bad,0.6
2x16,Meld,, ✔ Recommended,6.8
2x17,Dreadnought,♥️,-,7.3
2x18,Death Wish,Q⚖️, ✔ Recommended,7.8
2x19,Lifesigns,, ✔ Recommended,6
2x20,Investigations,, ✔ Recommended,5.1
2x21,Deadlock,👨🏻‍🤝‍👨🏻, ✔ Recommended,7.2
2x22,Innocence,,-,2.8
2x23,The Thaw,👺🎖V🟡, ✔+ Highly Recommended,6.6
2x24,Tuvix,,-,5.5
2x25,Resolutions,,-,4.6
2x26,Basics (Part I),, ✔ Recommended,6.4
3x01,Basics (Part II),, ✔ Recommended,6.4
3x02,Flashback,🕖♥️, ✔+ Highly Recommended,7.2
3x03,The Chute,,-,4.3
3x04,The Swarm,,-,5.8
3x05,False Profits,,-,4.4
3x06,Remember,,-,5.4
